Tue Sep 18 12:21:05 PDT 2012
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1347999465493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999470493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999475493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999480493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999485493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999490493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999495493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999500493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999505493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999510493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999515493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999520493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999525493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999530493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999535493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999540493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999545493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999550493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999555493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999560493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999565493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999570493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999575493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999580493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999585493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999590493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999595493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999600493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999605493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999610493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999615493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999620493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999625494,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999630493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999635493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999640493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999645493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999650493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999655493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999660493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999665493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999670493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999675493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999680493,5,25,4,1,17,0,0,0,1,0,0,0,0
